id,title,released,popularity,average_stars,total_votes,genres,overview
346910,The Predator,2018-09-05,478.424,5.6,3848,"['Science Fiction', 'Action', 'Adventure', 'Horror']","When a young boy accidentally triggers the universe's most lethal hunters' return to Earth, only a ragtag crew of ex-soldiers and a disgruntled scientist can prevent the end of the human race."
406759,Moonfall,2022-02-03,475.425,6.5,1662,"['Science Fiction', 'Adventure', 'Action']",A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.
764835,The Desperate Hour,2021-09-12,463.679,6.2,208,['Thriller'],A woman desperately races to save her child after police place her hometown on lockdown due to an active shooter incident.
887357,Green Lantern: Beware My Power,2022-07-12,462.372,7.2,76,"['Animation', 'Action', 'Science Fiction']","Recently discharged Marine sniper John Stewart is at a crossroads in his life, one which is only complicated by receiving an extraterrestrial ring which grants him the powers of the Green Lantern of Earth. Unfortunately, the ring doesn't come with instructions - but it does come with baggage, like a horde of interplanetary killers bent on eliminating every Green Lantern in the universe. Now, with the aid of the light-hearted Green Arrow, Adam Strange and Hawkgirl, this reluctant soldier must journey into the heart of a galactic Rann/Thanagar war and somehow succeed where all other Green Lanterns have failed."
912598,Bubble,2022-02-14,462.168,7.5,212,"['Animation', 'Adventure', 'Science Fiction']","In an abandoned Tokyo overrun by bubbles and gravitational abnormalities, one gifted young man has a fateful meeting with a mysterious girl."
960258,Shark Bait,2022-05-13,455.697,6.3,108,"['Horror', 'Thriller', 'Action']","A group of friends enjoying a weekend steal a couple of jetskis racing them out to sea, ending up in a horrific head-on collision. They struggle to find a way home with a badly injured friend while from the waters below predators lurk."
628900,The Contractor,2022-03-10,450.345,6.5,449,"['Action', 'Thriller']","After being involuntarily discharged from the U.S. Special Forces, James Harper decides to support his family by joining a private contracting organization alongside his best friend and under the command of a fellow veteran. Overseas on a covert mission, Harper must evade those trying to kill him while making his way back home."
539681,DC League of Super-Pets,2022-07-27,446.182,7.4,70,"['Animation', 'Action', 'Family', 'Science Fiction', 'Comedy']","When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes."
34851,Predators,2010-07-03,440.751,6.2,3286,"['Science Fiction', 'Action', 'Thriller']",A group of cold-blooded killers find themselves trapped on an alien planet to be hunted by extraterrestrial Predators.
588228,The Tomorrow War,2021-07-02,438.557,8.0,5685,"['Action', 'Science Fiction', 'Adventure']","The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet."
869399,The Passenger,2022-06-03,438.519,6.7,15,['Horror'],"Four people traveling in a van run over a lone woman while she is walking in the dark down a country road. After loading her into the vehicle to take her to the nearest hospital, they notice that she is behaving rather strangely. The occupants of the van soon realise that the time has come to fight for their lives, and together they agree on one very simple rule: ""do not sit next to her."""
843241,The Seven Deadly Sins: Cursed by Light,2021-07-02,435.597,7.9,372,"['Animation', 'Fantasy']","With the help of the ""Dragon Sin of Wrath"" Meliodas and the worst rebels in history, the Seven Deadly Sins, the ""Holy War"", in which four races, including Humans, Goddesses, Fairies and Giants fought against the Demons, is finally over. At the cost of the ""Lion Sin of Pride"" Escanor's life, the Demon King was defeated and the world regained peace. After that, each of the Sins take their own path."
